COIN|settings.py|coins.json|src/technical/funding.py|src/technical/candle_fetcher.py
ADA|YES|YES|YES|YES
APT|YES|YES|NO|NO
ARB|YES|YES|NO|NO
ATOM|YES|YES|YES|YES
AVAX|YES|YES|YES|YES
BNB|YES|YES|YES|YES
BONK|NO|NO|YES|YES
BTC|YES|YES|YES|YES
DOGE|YES|YES|YES|YES
DOT|YES|YES|YES|YES
ETC|YES|YES|YES|YES
ETH|YES|YES|YES|YES
FLOKI|NO|NO|YES|YES
INJ|YES|YES|NO|NO
LINK|YES|YES|YES|YES
LTC|YES|YES|YES|YES
MATIC|YES|YES|YES|YES
NEAR|YES|YES|NO|NO
OP|YES|YES|NO|NO
PEPE|NO|NO|YES|YES
SHIB|NO|NO|YES|YES
SOL|YES|YES|YES|YES
UNI|YES|YES|YES|YES
WIF|NO|NO|YES|YES
XRP|YES|YES|YES|YES
